Name,Team,Position,Passing Completions,Passing Attempts,Passing Yards,Passing TDs,Passing INTs,Rushing Attemps,Rushing Yards,Rushing TDs,Receptions,Receving Yards,Receiving TDs,Targets,2PCs,Fumbles,Other TDs,Total Points
Blair Walsh,Sea,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.0
Justin Hunter,Pit,WR,0,0,0,0,0,0,0,0,10,189,4,24,0,0,0,52.9
Wendell Smallwood,Phi,RB,0,0,0,0,0,77,312,1,6,55,0,12,0,1,1,52.7
Cobi Hamilton,Pit,WR,0,0,0,0,0,0,0,0,17,234,2,28,0,0,0,52.4
Josh McCown,NYJ,QB,90,165,1100,6,6,7,21,0,0,0,0,0,1,4,0,52.1
Virgil Green,Den,TE,0,0,0,0,0,0,0,0,22,237,1,37,0,0,0,51.7
Levine Toilolo,Atl,TE,0,0,0,0,0,0,0,0,13,264,2,19,0,0,0,51.4
Erik Swoope,Ind,TE,0,0,0,0,0,0,0,0,15,297,1,22,0,0,0,50.7
Kenyan Drake,Mia,RB,0,0,0,0,0,33,179,2,9,46,0,10,0,0,1,49.5
Rod Streater,Buf,WR,0,0,0,0,0,0,0,0,18,191,2,27,0,0,0,49.1
Andre Roberts,Atl,WR,0,0,0,0,0,0,0,0,14,188,1,25,0,1,2,48.8
Dwayne Washington,Det,RB,0,0,0,0,0,90,265,1,10,62,0,15,0,0,0,48.7
Jordan Taylor,Den,WR,0,0,0,0,0,0,0,0,16,209,2,27,0,1,0,46.9
Jay Cutler,Mia,QB,81,137,1059,4,5,5,24,0,0,0,0,0,0,2,0,46.8
Aaron Ripkowski,GB,RB,0,0,0,0,0,34,150,2,9,46,1,10,0,0,0,46.6
Chester Rogers,Ind,WR,0,0,0,0,0,0,0,0,19,273,0,35,0,0,0,46.3
Josh Brown,NYG,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0
Andre Holmes,Buf,WR,0,0,0,0,0,0,0,0,14,126,3,25,0,0,0,44.6
Jordan Norwood,Den,WR,0,0,0,0,0,1,0,0,21,232,1,35,0,3,0,44.2
Geronimo Allison,GB,WR,0,0,0,0,0,0,0,0,12,202,2,22,0,0,0,44.2
Charone Peake,NYJ,WR,0,0,0,0,0,0,0,0,19,186,0,34,0,0,0,43.6
Demetrius Harris,KC,TE,0,0,0,0,0,0,0,0,17,123,1,31,1,0,1,43.3
Charles D. Johnson,Car,WR,0,0,0,0,0,0,0,0,20,232,0,37,0,0,0,43.2
Mychal Rivera,Jax,TE,0,0,0,0,0,0,0,0,18,192,1,25,0,0,0,43.2
Marcedes Lewis,Jax,TE,0,0,0,0,0,0,0,0,20,169,1,30,0,0,0,42.9
Eddie Lacy,Sea,RB,0,0,0,0,0,71,360,0,4,28,0,7,0,0,0,42.8
Darrius Heyward-Bey,Pit,WR,0,0,0,0,0,1,60,1,6,114,2,19,0,0,0,41.4
Ben Koyack,Jax,TE,0,0,0,0,0,0,0,0,19,161,1,24,0,0,0,41.1
Josh Huff,TB,WR,0,1,0,0,0,4,15,0,16,113,1,23,0,0,1,40.8
Eric Decker,Ten,WR,0,0,0,0,0,0,0,0,9,194,2,21,0,0,0,40.4
Alfred Morris,Dal,RB,0,0,0,0,0,69,243,2,3,11,0,6,0,0,0,40.4
Luke Willson,Sea,TE,0,0,0,0,0,0,0,0,15,129,2,21,0,0,0,39.9
Bobby Rainey,Bal,RB,0,0,0,0,0,17,63,0,20,153,0,25,0,1,0,39.6
Kevin White,Chi,WR,0,0,0,0,0,1,9,0,19,187,0,35,0,0,0,38.6
Ricardo Louis,Cle,WR,0,0,0,0,0,0,0,0,18,205,0,36,0,0,0,38.5
Shane Vereen,NYG,RB,0,0,0,0,0,33,158,1,11,94,0,19,0,2,0,38.2
Jalin Marshall,NYJ,WR,0,0,0,0,0,0,0,0,14,162,2,23,0,2,0,38.2
Bennie Fowler,Den,WR,0,0,0,0,0,0,0,0,11,145,2,24,0,0,0,37.5
Lance Dunbar,LAR,RB,0,0,0,0,0,9,31,1,16,122,0,24,0,0,0,37.3
Kenneth Farrow,LAC,RB,0,0,0,0,0,60,192,0,13,70,0,16,0,1,0,37.2
Cody Core,Cin,WR,0,0,0,0,0,0,0,0,17,200,0,27,0,0,0,37.0
Tanner McEvoy,Sea,WR,1,1,43,0,0,0,0,0,9,140,2,11,0,0,0,36.7
Jeff Janis,GB,WR,0,0,0,0,0,2,38,1,11,93,1,19,0,0,0,36.1
Peyton Barber,TB,RB,0,0,0,0,0,55,223,1,5,28,0,6,0,0,0,36.1
Harry Douglas,Ten,WR,0,0,0,0,0,0,0,0,15,210,0,22,0,0,0,36.0
Jimmy Garoppolo,NE,QB,43,63,502,4,0,10,6,0,1,3,0,1,0,1,0,36.0
Corey Grant,Jax,RB,0,0,0,0,0,32,164,1,4,35,1,7,0,0,0,35.9
Josh Hill,NO,TE,0,0,0,0,0,0,0,0,15,149,1,22,0,0,0,35.9
Alex Collins,Sea,RB,0,0,0,0,0,31,125,1,11,84,0,11,0,1,0,35.9
Jaron Brown,Ari,WR,0,0,0,0,0,0,0,0,11,187,1,22,0,0,0,35.7
Josh Ferguson,Ind,RB,0,0,0,0,0,15,20,0,20,136,0,25,0,0,0,35.6
Darren Fells,Det,TE,0,0,0,0,0,0,0,0,14,154,1,18,0,0,0,35.4
DuJuan Harris,Jax,RB,0,0,0,0,0,38,138,0,8,115,1,9,0,2,0,35.3
Benny Cunningham,Chi,RB,0,0,0,0,0,21,101,0,16,91,0,21,0,0,0,35.2
Xavier Grimble,Pit,TE,0,0,0,0,0,0,0,0,11,118,2,21,0,0,0,34.8
Seth DeValve,Cle,TE,0,0,0,0,0,0,0,0,10,127,2,13,0,0,0,34.7
Mike Tolbert,Buf,RB,0,0,0,0,0,35,114,0,10,72,1,15,0,0,0,34.6
Austin Seferian-Jenkins,NYJ,TE,0,0,0,0,0,0,0,0,13,154,1,21,0,0,0,34.4
Daniel Brown,Chi,TE,0,0,0,0,0,0,0,0,16,124,1,20,0,0,0,34.4
Jerell Adams,NYG,TE,0,0,0,0,0,0,0,0,16,122,1,21,0,0,0,34.2
Kenjon Barner,LAC,RB,0,0,0,0,0,27,129,2,5,42,0,11,0,0,0,34.1
Randy Bullock,Cin,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0
Landry Jones,Pit,QB,53,86,558,4,2,6,-4,0,0,0,0,0,0,0,0,33.9
Jonathan Grimes,Jax,RB,0,0,0,0,0,23,105,0,13,94,0,18,0,0,0,32.9
Vincent Jackson,TB,WR,0,0,0,0,0,0,0,0,15,173,0,31,0,0,0,32.3
Bryce Petty,NYJ,QB,75,133,809,3,7,5,19,0,0,0,0,0,1,1,0,32.3
MarQueis Gray,Mia,TE,0,0,0,0,0,0,0,0,14,174,0,17,0,0,0,31.4
Marquess Wilson,NYJ,WR,0,0,0,0,0,0,0,0,9,160,1,16,0,0,0,31.0
Braxton Miller,Hou,WR,0,0,0,0,0,3,0,0,15,99,1,28,0,0,0,30.9
Darren Waller,Bal,TE,0,0,0,0,0,0,0,0,10,85,2,17,0,0,0,30.5
Andre Ellington,Ari,RB,0,0,0,0,0,34,96,0,12,85,0,19,0,0,0,30.1
A.J. Derby,Den,TE,0,0,0,0,0,0,0,0,16,160,0,19,0,1,0,30.0
Andre Johnson,Ten,WR,0,0,0,0,0,0,0,0,9,85,2,23,0,0,0,29.5
Brent Celek,Phi,TE,0,0,0,0,0,0,0,0,14,155,0,19,0,0,0,29.5
Ronnie Hillman,Dal,RB,0,0,0,0,0,41,131,0,7,93,0,15,0,0,0,29.4
Ed Dickson,Car,TE,0,0,0,0,0,0,0,0,10,134,1,19,0,0,0,29.4
Kerwynn Williams,Ari,RB,0,0,0,0,0,18,157,2,1,6,0,2,0,0,0,29.3
Roger Lewis,NYG,WR,0,0,0,0,0,0,0,0,7,97,2,19,0,0,0,28.7
Cameron Artis-Payne,Car,RB,0,0,0,0,0,36,144,2,1,11,0,1,0,0,0,28.5
Kapri Bibbs,SF,RB,0,0,0,0,0,29,129,0,2,75,1,4,0,0,0,28.4
Paxton Lynch,Den,QB,49,83,497,2,1,11,25,0,0,0,0,0,0,0,0,28.4
Anthony Fasano,Mia,TE,0,0,0,0,0,0,0,0,8,83,2,14,0,0,0,28.3
Jacoby Brissett,NE,QB,34,55,400,0,0,16,83,1,0,0,0,0,0,1,0,28.3
Larry Donnell,Bal,TE,0,0,0,0,0,0,0,0,15,92,1,22,0,1,0,28.2
Walter Powell,Buf,WR,0,0,0,0,0,0,0,0,14,142,0,25,0,0,0,28.2
Freddie Martino,TB,WR,0,0,0,0,0,0,0,0,8,142,1,11,0,0,0,28.2
Nick Foles,Phi,QB,36,55,410,3,0,4,-4,0,0,0,0,0,0,0,0,28.0
